Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login With Multiple Data,Chrome 100.0.4896.88,,,2022-04-15 01:25:33,2022-04-15 01:26:09,36.787s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:25:33,2022-04-15 01:25:45,11.907s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:25:34,2022-04-15 01:25:40,6.611s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:25:40,2022-04-15 01:25:42,1.466s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:25:42,2022-04-15 01:25:43,1.208s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:25:43,2022-04-15 01:25:44,1.026s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:25:44,2022-04-15 01:25:44,0.521s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:25:44,2022-04-15 01:25:45,0.491s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:25:45,2022-04-15 01:25:54,8.595s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:25:45,2022-04-15 01:25:49,3.615s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:25:49,2022-04-15 01:25:50,1.319s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:25:50,2022-04-15 01:25:52,1.599s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:25:52,2022-04-15 01:25:53,1.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:25:53,2022-04-15 01:25:53,0.488s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:25:53,2022-04-15 01:25:54,0.442s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:25:54,2022-04-15 01:26:01,7.340s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:25:54,2022-04-15 01:25:56,2.857s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:25:56,2022-04-15 01:25:58,1.156s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:25:58,2022-04-15 01:25:59,1.243s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:25:59,2022-04-15 01:26:00,1.055s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:26:00,2022-04-15 01:26:01,0.616s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:26:01,2022-04-15 01:26:01,0.391s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:26:01,2022-04-15 01:26:09,7.987s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:26:01,2022-04-15 01:26:05,3.513s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:26:05,2022-04-15 01:26:06,1.086s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:26:06,2022-04-15 01:26:07,1.270s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:26:07,2022-04-15 01:26:08,1.054s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:26:08,2022-04-15 01:26:09,0.516s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:26:09,2022-04-15 01:26:09,0.532s,PASSED
