Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login With Multiple Data,Chrome 100.0.4896.88,,,2022-04-15 01:23:25,2022-04-15 01:24:02,37.300s,PASSED
,,,,,,,
Test Cases/Login - Copy,Chrome 100.0.4896.88,,,2022-04-15 01:23:25,2022-04-15 01:23:37,11.340s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:23:26,2022-04-15 01:23:32,6.153s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:23:32,2022-04-15 01:23:33,1.349s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:33,2022-04-15 01:23:35,1.177s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:23:35,2022-04-15 01:23:36,1.091s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:23:36,2022-04-15 01:23:36,0.537s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:36,2022-04-15 01:23:37,0.416s,PASSED
,,,,,,,
Test Cases/Login - Copy,Chrome 100.0.4896.88,,,2022-04-15 01:23:37,2022-04-15 01:23:45,8.198s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:23:37,2022-04-15 01:23:40,3.751s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:23:40,2022-04-15 01:23:42,1.219s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:42,2022-04-15 01:23:43,0.889s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:23:43,2022-04-15 01:23:44,1.193s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:23:44,2022-04-15 01:23:44,0.613s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:44,2022-04-15 01:23:45,0.458s,PASSED
,,,,,,,
Test Cases/Login - Copy,Chrome 100.0.4896.88,,,2022-04-15 01:23:45,2022-04-15 01:23:53,8.170s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:23:45,2022-04-15 01:23:48,3.372s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:23:48,2022-04-15 01:23:49,1.119s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:49,2022-04-15 01:23:51,1.589s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:23:51,2022-04-15 01:23:52,1.047s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:23:52,2022-04-15 01:23:53,0.583s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:53,2022-04-15 01:23:53,0.448s,PASSED
,,,,,,,
Test Cases/Login - Copy,Chrome 100.0.4896.88,,,2022-04-15 01:23:53,2022-04-15 01:24:02,8.726s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:23:53,2022-04-15 01:23:57,3.763s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:23:57,2022-04-15 01:23:58,1.278s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:23:58,2022-04-15 01:23:59,1.146s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:23:59,2022-04-15 01:24:01,1.195s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:24:01,2022-04-15 01:24:01,0.565s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:24:01,2022-04-15 01:24:02,0.757s,PASSED
