Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:03,2022-04-14 23:56:04,1.467s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:04,2022-04-14 23:56:05,1.227s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:05,2022-04-14 23:56:06,1.080s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:06,2022-04-14 23:56:07,0.879s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:07,2022-04-14 23:56:08,0.900s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:08,2022-04-14 23:56:09,0.883s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Month_month""), ""12"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:09,2022-04-14 23:56:10,0.763s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Year_year""), ""2024"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:10,2022-04-14 23:56:11,0.762s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Purchase""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:11,2022-04-14 23:56:11,0.579s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_OK""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:11,2022-04-14 23:56:14,2.639s,PASSED
,,,,,,,
Test Cases/Phones/Lumia 1520,Chrome 100.0.4896.88,,,2022-04-14 23:56:14,2022-04-14 23:56:42,27.947s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-14 23:56:16,2022-04-14 23:56:22,6.347s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:22,2022-04-14 23:56:24,1.400s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:24,2022-04-14 23:56:25,1.257s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:25,2022-04-14 23:56:26,1.040s,PASSED
"setEncryptedText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-14 23:56:26,2022-04-14 23:56:27,0.557s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:27,2022-04-14 23:56:27,0.593s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Phones""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:27,2022-04-14 23:56:30,2.382s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Lumia 1520/Page_STORE/a_Nokia lumia 1520""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:30,2022-04-14 23:56:32,1.788s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Lumia 1520/Page_STORE/a_Add to cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:32,2022-04-14 23:56:33,1.158s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:33,2022-04-14 23:56:34,1.444s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:34,2022-04-14 23:56:35,1.364s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:35,2022-04-14 23:56:37,1.074s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:37,2022-04-14 23:56:37,0.709s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:37,2022-04-14 23:56:38,0.693s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:38,2022-04-14 23:56:39,0.715s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Month_month""), ""12"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:39,2022-04-14 23:56:39,0.795s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Year_year""), ""2024"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:39,2022-04-14 23:56:40,0.786s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Purchase""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:40,2022-04-14 23:56:41,0.408s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_OK""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:41,2022-04-14 23:56:42,1.204s,PASSED
,,,,,,,
Test Cases/Phones/Nexus 6,Chrome 100.0.4896.88,,,2022-04-14 23:56:42,2022-04-14 23:57:10,28.123s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-14 23:56:44,2022-04-14 23:56:48,4.015s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:48,2022-04-14 23:56:49,1.114s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:49,2022-04-14 23:56:52,2.514s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-14 23:56:52,2022-04-14 23:56:53,1.299s,PASSED
"setEncryptedText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-14 23:56:53,2022-04-14 23:56:54,0.596s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:54,2022-04-14 23:56:54,0.623s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Phones""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:54,2022-04-14 23:56:57,2.692s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Nexus 6/Page_STORE/a_Nexus 6""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:57,2022-04-14 23:56:59,1.696s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Nexus 6/Page_STORE/a_Add to cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:56:59,2022-04-14 23:57:00,1.183s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:00,2022-04-14 23:57:01,1.225s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:57:01,2022-04-14 23:57:03,1.327s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:03,2022-04-14 23:57:04,1.140s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:04,2022-04-14 23:57:05,0.855s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:05,2022-04-14 23:57:05,0.830s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:57:05,2022-04-14 23:57:06,0.755s,PASSED
