Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Phones""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:26,2022-04-14 23:58:29,2.909s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Sony Xperia Z5/Page_STORE/a_Sony xperia z5""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:29,2022-04-14 23:58:31,1.686s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Sony Xperia Z5/Page_STORE/a_Add to cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:31,2022-04-14 23:58:32,1.065s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:32,2022-04-14 23:58:34,1.753s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:34,2022-04-14 23:58:35,1.347s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:35,2022-04-14 23:58:36,1.215s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:36,2022-04-14 23:58:37,0.920s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:37,2022-04-14 23:58:38,0.818s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:38,2022-04-14 23:58:39,0.750s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Month_month""), ""12"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:39,2022-04-14 23:58:40,0.769s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Year_year""), ""2024"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:40,2022-04-14 23:58:40,0.713s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Purchase""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:40,2022-04-14 23:58:41,0.696s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_OK""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:41,2022-04-14 23:58:42,1.470s,PASSED
