Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login With Multiple Data,Chrome 100.0.4896.88,,,2022-04-15 01:38:33,2022-04-15 01:39:04,31.488s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:38:33,2022-04-15 01:38:43,9.761s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:38:34,2022-04-15 01:38:39,5.011s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:38:39,2022-04-15 01:38:40,1.246s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:38:40,2022-04-15 01:38:41,1.055s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:38:41,2022-04-15 01:38:42,0.992s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:38:42,2022-04-15 01:38:42,0.483s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:38:42,2022-04-15 01:38:43,0.433s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:38:43,2022-04-15 01:38:50,7.282s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:38:43,2022-04-15 01:38:46,2.844s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:38:46,2022-04-15 01:38:47,1.204s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:38:47,2022-04-15 01:38:48,1.036s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:38:48,2022-04-15 01:38:49,1.331s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:38:49,2022-04-15 01:38:50,0.483s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:38:50,2022-04-15 01:38:50,0.359s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:38:50,2022-04-15 01:38:57,6.606s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:38:50,2022-04-15 01:38:53,2.515s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:38:53,2022-04-15 01:38:54,0.748s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:38:54,2022-04-15 01:38:55,1.167s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:38:55,2022-04-15 01:38:56,1.118s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:38:56,2022-04-15 01:38:56,0.467s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:38:56,2022-04-15 01:38:57,0.540s,PASSED
,,,,,,,
Test Cases/Data Driven Login,Chrome 100.0.4896.88,,,2022-04-15 01:38:57,2022-04-15 01:39:04,7.067s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 01:38:57,2022-04-15 01:39:00,2.397s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 01:39:00,2022-04-15 01:39:01,1.470s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:39:01,2022-04-15 01:39:02,1.268s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), Username)",Chrome 100.0.4896.88,,,2022-04-15 01:39:02,2022-04-15 01:39:03,0.936s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), Password)",Chrome 100.0.4896.88,,,2022-04-15 01:39:03,2022-04-15 01:39:04,0.539s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 01:39:04,2022-04-15 01:39:04,0.431s,PASSED
